CN,87.4187,57.1,0.056609
AA,70.282,74.03,0.067778
RA,57.4837,55.26,0.05632
PA,44.0347,39.76,0.002478
CN,80.9111,30.03,0.054443
AA,62.6898,66.7,0.058666
RA,59.436,61.84,0.057654
PA,36.8764,43.92,0.002322
CN,80.9111,39.27,0.059923
AA,65.9436,66.58,0.071842
RA,58.1345,54.53,0.061121
PA,31.8872,38.8,0.002308
